id,name,street,city,state,accessible,unisex,directions,comment,latitude,longitude,created_at,updated_at,downvote,upvote,country,changing_table,edit_id,approved
27029,Bellflower House,11427 Bellflower Rd,Cleveland,Ohio,True,False,"Three single stall bathrooms with gendered signs:
-One on the 1st floor.
-Two on the 2nd floor (not ADA accessible).",Doors to building switch to card access only at 7pm and reopen to public at 8am.,41.5119518,-81.6052548,2016-12-07T16:24:42.265Z,2016-12-07T16:24:42.265Z,0,0,US,False,27029,True
27030,Clarke Tower,1596 E 115th St,Cleveland,Ohio,True,False,Two single stall bathrooms with gendered signs on 1st floor.,Doors to building switch to card access only at 7pm and reopen to public at 8am.,41.5145416,-81.6055984,2016-12-07T16:25:48.837Z,2016-12-07T16:25:48.837Z,0,0,US,False,27030,True
27031,Cutler House,1616 E 115th St,Cleveland,Ohio,True,False,One single stall bathroom with gendered sign on 1st floor.,Doors to building switch to card access only at 7pm and reopen to public at 8am.,41.5142142,-81.6052639,2016-12-07T16:26:50.121Z,2016-12-07T16:26:50.121Z,0,0,US,False,27031,True
27032,CWRU Barnes and Noble,11451 Euclid Ave,Cleveland,Ohio,True,False,Two single stall bathrooms with gendered signs in Dunkin' Donuts.,Doors to building switch to card access only at 7pm and reopen to public at 8am.,41.5099915,-81.6043539,2016-12-07T16:27:49.509Z,2016-12-07T16:27:49.509Z,0,0,US,False,27032,True
27033,Glaser House,11900 Carlton Rd,Cleveland,Ohio,True,False,One single stall bathroom with gendered sign on 1st floor.,Doors to building switch to card access only at 7pm and reopen to public at 8am.,41.5004736,-81.6005772,2016-12-07T16:28:56.517Z,2016-12-07T16:28:56.517Z,0,0,US,False,27033,True
27034,Hitchcock House,1626 E 115th St,Cleveland,Ohio,True,False,One single stall bathroom with gendered sign on 1st floor.,Doors to building switch to card access only at 7pm and reopen to public at 8am.,41.513924,-81.6049966,2016-12-07T16:29:45.099Z,2016-12-07T16:29:45.099Z,0,0,US,False,27034,True
27035,Peter B. Lewis Building,11119 Bellflower Rd,Cleveland,Ohio,True,False,Multiple single stall bathrooms with gendered signs on the 5th floor.,Doors to building switch to card access only at 7pm and reopen to public at 8am.,41.5099586,-81.6080379,2016-12-07T16:34:01.766Z,2016-12-07T16:34:01.766Z,0,0,US,False,27035,True
27036,Severance Hall,11001 Euclid Ave,Cleveland,Ohio,True,False,One single stall bathroom with gendered sign on 1st floor to the left of the Euclid Ave. entrance.,Open to the public from 8am to usually 8pm.,41.5063477,-81.6093361,2016-12-07T16:35:22.315Z,2016-12-07T16:35:22.315Z,0,0,US,False,27036,True
28203,Generic.Gallery,"3901 Lakeside Ave., Ste. 104",Cleveland,Ohio,True,True,Our public restroom is located in a secure hallway on the first floor next to our Gallery.,Restroom is available during open studio and gallery hours which varies per exhibit. Our gallery/open studio is LGBTQIA+ friendly and genderqueer owned & operated. ,41.5184178,-81.6670947,2017-02-23T03:49:12.609Z,2017-02-23T03:49:12.609Z,0,2,US,False,28203,True
28205,Coquette Patisserie,11607 Euclid Ave,Cleveland,OH,True,True,Back of the cafe,,41.5109019,-81.6033302,2017-02-23T04:04:25.359Z,2017-02-23T04:04:25.359Z,0,0,US,False,28205,True
28255,The BottleHouse Brewing Company and Meadery,2050 Lee Road,Cleveland Heights,Ohio,True,True,Bathroom is located the back and right of the bar. ,"The BottleHouse is a safe space for all members of the LGBTQIA+ community and has a single stall, all gender bathroom. If you feel unsafe, please inform staff and they will help.",41.503728,-81.5658831,2017-02-23T19:15:58.286Z,2017-02-23T19:15:58.286Z,0,1,US,False,28255,True
28341,Target,Ben More,Cleveland,TN,True,False,,,35.1779862,-84.8671232,2017-02-24T02:08:35.175Z,2020-04-14T21:15:20.997Z,0,0,US,False,28341,True
