Name,City,State
Outpatient Care Center,Chicago,IL
Broadway Youth Center,Chicago,IL
Howard Brown,Chicago,IL
Apple Store,Chicago,IL
Ethiopian Diamond,Chicago,IL
Center oh Halsted,Chicago,IL
Center on Halsted,Chicago,IL
Starbucks North & Wells,Chicago,IL
The Little India,Chicago,IL
Kitchen Sink,Chicago,IL
Zanzibar,Chicago,IL
Pacific College of Oriental Medicine,Chicago,IL
Quimby's Books,Chicago,IL
Kopi Cafe,Chicago,IL
"Green Hall, UChicago campus",Chicago,IL
5710 LGBTQ and multicultural student center,Chicago,IL
Cosi,Chicago,IL
Pick Me Up Cafe,Chicago,IL
Powell's Bookstore,Chicago,IL
Long Room,Chicago,IL
Treat,Chicago,IL
Filter Coffee Shop,Chicago,IL
Caffe de Luca,Chicago,IL
George's Ice Cream and Sweets,Chicago,IL
palmer house hilton,Chicago,IL
The Common Cup,Chicago,IL
Davanti Enoteca,Chicago,IL
Einstein Bagels,Chicago,IL
Target,Chicago,IL
Hot Doug's,Chicago,IL
Chicago/bar/Hopleaf,Chicago,IL
O'Hare airport,Chicago,IL
Glenn's Diner,Chicago,IL
Argo Tea Cafe,Chicago,IL
Grahamwich,Chicago,IL
The Wormhole Coffee,Chicago,IL
Nite Cap Lounge,Chicago,IL
Cafe Moustache,Chicago,IL
Northeastern Illinois University,Chicago,IL
DePaul University Ray Meyer Fitness Center,Chicago,IL
Jewel Grocery,Chicago,IL
Caribou Coffee,Chicago,IL
DePaul University Arts and Letters Hall,Chicago,IL
Center on Halsted,Chicago,IL
Caribou Coffee,Chicago,IL
Kopi Cafe,Chicago,IL
Ann Sather,Chicago,IL
Starbucks 68 E Madison,Chicago,IL
Kopi Cafe,Chicago,IL
trader joe's,Chicago,IL
Sakura Teppanyaki & Sushi,Chicago,IL
Whole Foods Market (Lincoln Park),Chicago,IL
Loyola Univerity - Damen Student Center,Chicago,IL
Virgin Hotel Lobby,Chicago,IL
Oriental Theatre,Chicago,IL
Pizzeria Uno,Chicago,IL
DePaul University Art Museum,Chicago,IL
Blaze pizza,Chicago,IL
Greek Islands,Chicago,IL
Art Institute Modern Wing,Chicago,IL
lickety split,Chicago,IL
Honey butter fried chicken,Chicago,IL
Reconciling Ministries Network,Chicago,IL
North Broadway dental ,Chicago,IL
North Broadway dental ,Chicago,IL
Zanzibar coffee shop ,Chicago,IL
Antiprima Restaurant,Chicago,IL
Intelligentsia,Chicago,IL
Velvet Taco,Chicago,IL
Local Root,Chicago,IL
BIG & little's ,Chicago,IL
DePaul University,Chicago,IL
Allegro Hotel,Chicago,IL
Pub Royale,Chicago,IL
The Perfect Cup,Chicago,IL
Pullman Cafe,Chicago,IL
Dollop Coffee & Tea Company,Chicago,IL
Planned Parenthood,Chicago,IL
Da Vinci Vision Boutique,Chicago,IL
